,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
272,2861667,1.0,False,De Baarsjes - Oud-West,52.36714,4.86019,Private room,2,1.0,2.0,3,138.0,1,1125,True,9,9,4.59,True,69.0,138.0,0.06,0.11,0.18,4.99,0.0,750.0
273,2892186,0.8,False,Oostelijk Havengebied - Indische Buurt,52.36307,4.94322,Entire home/apt,2,1.0,1.0,7,165.0,3,28,True,0,2,4.89,False,82.5,495.0,0.07,0.18,0.2,4.99,0.0,750.0
274,2902819,0.71,False,Centrum-Oost,52.37067,4.90373,Entire home/apt,2,1.0,1.0,13,260.0,3,30,True,0,0,4.97,False,130.0,780.0,0.13,0.13,0.16,4.99,0.0,750.0
275,2912309,0.78,False,De Pijp - Rivierenbuurt,52.35326,4.90668,Entire home/apt,4,2.0,2.0,8,200.0,3,30,True,0,0,4.95,False,50.0,600.0,0.12,0.22,0.27,4.99,0.0,750.0
276,2921938,0.38,False,De Baarsjes - Oud-West,52.36492,4.85908,Entire home/apt,3,3.0,4.0,5,170.0,4,1125,True,3,0,4.91,False,56.67,680.0,0.09,0.14,0.14,4.99,0.0,750.0
277,2955804,0.75,False,Westerpark,52.37486,4.87437,Entire home/apt,2,1.0,1.0,4,155.0,3,28,True,0,0,4.8,True,77.5,465.0,0.09,0.19,0.21,4.99,0.0,750.0
278,2956140,0.52,False,De Pijp - Rivierenbuurt,52.35593,4.90072,Private room,2,1.0,1.0,7,125.0,3,14,True,7,2,4.79,False,62.5,375.0,0.05,0.14,0.19,4.99,0.0,750.0
279,2965812,0.5,False,IJburg - Zeeburgereiland,52.36091,4.97497,Entire home/apt,4,2.0,2.0,4,160.0,5,5,True,4,1,4.95,False,40.0,800.0,0.08,0.2,0.15,4.99,0.0,750.0
280,2977065,0.16999999999999998,False,Centrum-West,52.37615,4.89001,Entire home/apt,2,1.0,1.0,25,700.0,3,21,True,0,1,4.7,True,350.0,2100.0,0.08,0.14,0.27,10.99,0.0,750.0
281,2981842,1.0,False,De Baarsjes - Oud-West,52.36623,4.85891,Private room,2,1.0,1.0,9,212.0,1,1125,True,12,0,4.56,True,106.0,212.0,0.08,0.21,0.21,4.99,0.0,750.0
282,2981853,1.0,False,De Baarsjes - Oud-West,52.36689,4.85891,Private room,2,1.0,2.0,10,139.0,1,99,True,8,0,4.63,True,69.5,139.0,0.07,0.16,0.15,4.99,0.0,750.0
